State,Category,Sub-Category1,Sub-Category2,Sub-Category 3,2010-11,2011-12,2012-13,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),1. Housing,,–,–,44.5,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,,–,–,1.1,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,,–,–,19.1,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,,–,3,1.6,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,,–,3.5,3.5,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+",,166.2,530.6,479.1,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),12. Others**,,–,4.7,10.2,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),V. Inter-State Settlement,,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),VI. Contingency Fund,,,7500,1500,1500,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",,,7071.9,72506.2,92807.9,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,,6574.8,72006.1,92167.7,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",2. Others,,497.2,500.1,640.1,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),,,1040.5,5872.3,10377,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),2. Sinking Funds,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),3. Famine Relief Fund,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),4. Others,,1040.5,5872.3,10377,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),,,51773.4,45664,52300,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),1. Civil Deposits,,15965.5,6613.3,8465.1,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),2. Deposits of Local Funds,,15534.8,18529.8,17568.1,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),3. Civil Advances,,1782.8,1011,1294.1,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),4. Others,,18490.3,19509.9,24972.7,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),,,619767.9,772980,989414.4,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),1. Suspense,,1356.8,1587.6,2032.1,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),2. Cash Balance Investment Accounts,,618030.1,770950.8,986817,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),3. Deposits with RBI,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),4. Others,,381,441.6,565.2,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),XI. Appropriation to Contingency Fund,,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),XII. Miscellaneous Capital Receipts,,,–,–,–,
Jharkhand,TOTAL CAPITAL RECEIPTS (I to XIII),XIII. Remittances,,,40160.3,28735.9,36781.9,
Jharkhand,TOTAL REVENUE (I+II),,,,"2,01,017.30","2,57,945.90","3,24,255.70",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),,,"1,23,070.00","1,45,277.90","1,72,367.80",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),,"59,672.90","71,344.90","87,344.90",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),1. Taxes on Income,-1.4,–,500,
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),2. Taxes on Property and Capital Transactions ,"3,685.00","5,334.90","5,784.90",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),3. Taxes on Commodities and Services,"55,989.30","66,010.00","81,060.00",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),,"63,397.10","73,933.00","85,022.90",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),i) Corporation Tax,"23,399.90","29,870.50","34,351.10",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),ii) Income Tax,"13,162.10","14,691.80","16,895.50",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),iii) Estate Duty,–,–,–,
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),iv) Other Taxes on Income and Expenditure,–,–,–,
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),v) Taxes on Wealth,23.5,56.3,64.7,
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),vi) Customs,"11,537.90","12,517.20","14,394.80",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),vii) Union Excise Duties,"7,551.30","9,546.80","10,978.80",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),viii) Service Tax,"7,722.40","7,250.40","8,338.00",
Jharkhand,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),ix) Other Taxes and Duties on Commodities and Services,–,–,–,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),,,"77,947.30","1,12,668.00","1,51,887.90",
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),,"31,296.40","36,086.60","39,608.90",
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),1. Interest Receipts,"2,794.10","1,006.40","1,086.10",
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),2. Dividends and Profits,–,5.6,6.2,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),3. General Services,2701.1,3292.2,3559.5,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),4. Social Services,1644,1500.9,1643.9,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),5. Fiscal Services,–,–,–,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),6. Economic Services,24157.1,30281.5,33313.2,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),,46651,76581.4,112279,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),1. State Plan Schemes,14488.6,42285.2,65883.8,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),2. Central Plan Schemes,4591.1,4307.3,6157.1,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),3. Centrally Sponsored Schemes,12453,12942.1,17939.6,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),4. NEC/ Special Plan Scheme,–,–,–,
Jharkhand,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),5. Non-Plan Grants (a to c),15118.3,17046.9,22298.5,
Karnataka,TOTAL INCOME (Total Capital Receipts + Tax Revenue),,,,"35,75,136.80","14,79,537.60","17,39,817.10",
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),,,,2993074.5,795561.8,925209.6,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),I. External Debt #,,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),,,52102.2,82630,192200,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),1. Market Loans,,20000,75000,154550,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),2. Loans from LIC,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,,7345.2,7500,7500,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,,99.3,130,150,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),6. WMA from RBI,,–,–,20000,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),7. Special Securities issued to NSSF,,24657.7,–,10000,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),8. Others@,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),,,15035.2,16169.8,23892.4,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),1. State Plan Schemes,,15035.2,16169.8,20002.1,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),2. Central Plan Schemes,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),3. Centrally Sponsored Schemes,,–,–,3880.3,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),4. Non-Plan,,–,–,10,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),5. Ways and Means Advances from Centre,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),6. Loans for Special Schemes,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),,,1613.8,620.8,1737.9,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),1. Housing,,258.5,–,708,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,,179.9,0.5,271,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,,44.5,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,,–,0.9,1,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,,175,130,176,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,,14,11.6,10,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,,391.1,294.6,101,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,,290.4,70,70,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+",,35.7,40.8,41.8,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),12. Others**,,224.8,72.5,359.1,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),V. Inter-State Settlement,,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),VI. Contingency Fund,,,–,50,50,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",,,29969.1,30350,33394.4,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,,16636.1,16550,18210,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",2. Others,,13333.1,13800,15184.4,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),,,21340.9,12709.9,14270,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,,0.2,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),2. Sinking Funds,,0.7,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),3. Famine Relief Fund,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),4. Others,,21339.9,12709.9,14270,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),,,237439.2,179095,192415,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),1. Civil Deposits,,43909.1,3500,4000,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),2. Deposits of Local Funds,,151269.8,141050,151050,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),3. Civil Advances,,2.3,15,15,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),4. Others,,42258.1,34530,37350,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),,,2620115.3,459936.3,452000,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),1. Suspense,,2341.7,1610,1700,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),2. Cash Balance Investment Accounts,,2118930.3,20000,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),3. Deposits with RBI,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),4. Others,,498843.4,438326.3,450300,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),XI. Appropriation to Contingency Fund,,,–,–,–,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),XII. Miscellaneous Capital Receipts,,,718.1,1000,1250,
Karnataka,TOTAL CAPITAL RECEIPTS (I to XIII),XIII. Remittances,,,14740.7,13000,14000,
Karnataka,TOTAL REVENUE (I+II),,,,"5,82,062.30","6,83,975.80","8,14,607.50",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),,,"4,79,794.30","5,68,500.70","6,49,144.00",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),,"3,84,731.20","4,57,750.30","5,18,207.00",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),1. Taxes on Income,"5,590.70","6,150.00","7,400.00",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),2. Taxes on Property and Capital Transactions,"37,086.10","49,400.30","53,987.00",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),3. Taxes on Commodities and Services,"3,42,054.4","4,02,200.00","4,56,820.00",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),,"95,063.10","1,10,750.40","1,30,937.00",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),i) Corporation Tax,"37,156.30","41,980.60","47,839.80",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),ii) Income Tax,"19,635.00","22,671.50","25,882.90",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),iii) Estate Duty,–,–,–,
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),iv) Other Taxes on Income and Expenditure,–,–,–,
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),v) Taxes on Wealth,76.2,150.2,171.2,
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),vi) Customs,"16,622.70","19,284.90","23,807.00",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),vii) Union Excise Duties,"12,092.50","12,625.00","16,302.50",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),viii) Service Tax,"9,480.50","14,038.30","16,933.70",
Karnataka,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),ix) Other Taxes and Duties on Commodities and Services,-0.1,-0.1,-0.1,
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),,,"1,02,267.90","1,15,475.10","1,65,463.50",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),,"33,582.80","31,886.30","31,928.20",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),1. Interest Receipts,"5,750.70","4,150.00","2,500.00",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),2. Dividends and Profits,434.4,610,635,
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),3. General Services,975.2,"4,121.30","4,192.20",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),4. Social Services,"3,304.70","3,426.50","4,150.50",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),5. Fiscal Services,–,–,–,
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),6. Economic Services,"23,117.80","19,578.50","20,450.50",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),,"68,685.10","83,588.80","1,33,535.30",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),1. State Plan Schemes,"28,388.10","36,196.10","37,025.90",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),2. Central Plan Schemes,"1,444.30","3,975.30","50,617.80",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),3. Centrally Sponsored Schemes,"16,286.10","24,027.90","23,009.70",
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),4. NEC/ Special Plan Scheme,–,–,–,
Karnataka,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),5. Non-Plan Grants (a to c),"22,566.60","19,389.50","22,881.90",
Kerala,TOTAL INCOME (Total Capital Receipts + Tax Revenue),,,,"17,10,994.00","17,23,235.00","15,49,036.50",
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),,,,1401084.5,1327356.7,1067620.6,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),I. External Debt #,,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),,,68275,119506.5,196217.6,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),1. Market Loans,,55000,93010,114127.5,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),2. Loans from LIC,,4400,4400,3690,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,,4146.8,4546.4,5250,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,,833.9,1000,500,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),6. WMA from RBI,,–,16050,70250,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),7. Special Securities issued to NSSF,,3894.4,100,2000,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),8. Others@,,–,400.1,400.1,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),,,3614,5544.4,8764.7,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),1. State Plan Schemes,,3614,5525.2,8761.7,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),2. Central Plan Schemes,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),3. Centrally Sponsored Schemes,,–,16.2,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),4. Non-Plan,,–,3,3,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),5. Ways and Means Advances from Centre,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),6. Loans for Special Schemes,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),,,442.3,751.9,878.1,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),1. Housing,,0.8,1.5,1.6,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,,11.8,16.2,16.4,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,,–,1.2,1.2,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,,17,10.1,19.6,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,,109,166,191.1,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,,64.7,88.3,90.9,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,,5.3,130.2,130.2,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+",,193.9,263.7,354.3,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),12. Others**,,39.8,74.7,73,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),V. Inter-State Settlement,,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),VI. Contingency Fund,,,262.7,10,10,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",,,166855.6,220937.1,211518.4,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,,32855.7,44947.5,35244.9,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",2. Others,,133999.9,175989.6,176273.5,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),,,13809.4,1560.3,1530.9,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,,–,–,–,
Kerala,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),2. Sinking Funds,,12104.1,100,–,
