State,Category,Sub-Category1,Sub-Category2,Sub-Category 3,Display Name,2010,2011,2012
JHARKHAND,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,Loans from SBI and other Banks,Loan-SBI,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,Loans from National Bank for Agriculture and Rural Development,Loan-NBARD,6250,6927,2043.2
JHARKHAND,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,Loans from National Co-operative Development Corporation,Loan-NCDC,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),6. WMA from RBI,WMA from RBI,WMA-RBI,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),7. Special Securities issued to NSSF,Special Securities issued to NSSF,Securities-NSSF,5002,10000,10000
JHARKHAND,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),8. Others@,Internal Debt-Others,Oth-Debt,4100,9535.5,4280
JHARKHAND,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),,Loans and Advances from the Centre,Loan from centre,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),1. State Plan Schemes,State Plan Schemes,state plan,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),2. Central Plan Schemes,Central Plan Schemes,central plan,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),3. Centrally Sponsored Schemes,Centrally Sponsored Schemes,centrally sponsered,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),4. Non-Plan ,Non-Plan,non -plan Loans,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),5. Ways and Means Advances from Centre,Ways and Means Advances from Centre,advances,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),6. Loans for Special Schemes,Loans for Special Schemes,special scheme,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),,Recovery of Loans and Advances,recovery,166.2,541.8,559.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),1. Housing,Housing,Housing,NA,NA,44.5
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,Urban Development,Urb. Dev.,NA,NA,1.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,Crop Husbandry,Crop Husbandry,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,Food Storage and Warehousing,Food Storage,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,Co-operation,Co-operation,NA,NA,19.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,Minor Irrigation,Minor Irrigation,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,Power Projects,Power Projects,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,Village and Small Industries,Village and Small Industries,NA,3,1.6
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,Industries and Minerals,Industries and Minerals,NA,3.5,3.5
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,Road Transport,Road Transport,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+","Government Servants, etc.+",Govt. Servants,166.2,530.6,479.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),12. Others**,Recovery of Loands and Advances-Others,Other-loan,NA,4.7,10.2
JHARKHAND,TOTAL CAPITAL RECEIPTS,V. Inter-State Settlement,,Inter-State Settlement, Inter-State Settlement,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,VI. Contingency Fund,,Contingency Fund,Contingency Fund,7500,1500,1500
JHARKHAND,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",,"Total Capital Receipts- State Provident Funds, etc.",Tot.State Provident Funds,7071.9,72506.2,92807.9
JHARKHAND,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,Total Capital Receipts- State Provident Funds,State Provident Funds,6574.8,72006.1,92167.7
JHARKHAND,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",2. Others,Total Capital Receipts-State Provident Funds-Others,Other fund,497.2,500.1,640.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),,Reserve Funds,Reserve Funds ,1040.5,5872.3,10377
JHARKHAND,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,Depreciation or Renewal Reserve Funds,Depreciation Funds,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),2. Sinking Funds,Sinking Funds, Sinking Funds,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),3. Famine Relief Fund,Famine Relief Fund,Famine Relief Fund,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),4. Others,Reserve Funds-Others,Other reserves,1040.5,5872.3,10377
JHARKHAND,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),,Deposits and Advances,Deposits and Advances ,51773.4,45664,52300
JHARKHAND,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),1. Civil Deposits,Civil Deposits Income,Civil Deposits,15965.5,6613.3,8465.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),2. Deposits of Local Funds,Deposits of Local Funds,Deposits of Local Funds,15534.8,18529.8,17568.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),3. Civil Advances,Civil Advances Income,Civil Advances,1782.8,1011,1294.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),4. Others,Deposits and Advances -Others,Other deposits,18490.3,19509.9,24972.7
JHARKHAND,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),,Suspense and Miscellaneous,Suspense and Misc. ,619767.9,772980,989414.4
JHARKHAND,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),1. Suspense,Suspense,Suspense,1356.8,1587.6,2032.1
JHARKHAND,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),2. Cash Balance Investment Accounts,Cash Balance Investment Accounts,Cash Balance,618030.1,770950.8,986817
JHARKHAND,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),3. Deposits with RBI,Deposits with RBI,Deposits with RBI,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),4. Others,Miscellaneous-Others,Miscellaneous,381,441.6,565.2
JHARKHAND,TOTAL CAPITAL RECEIPTS,XI. Appropriation to Contingency Fund,,Appropriation to Contingency Fund,Appropriation ,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,XII. Miscellaneous Capital Receipts,,Miscellaneous Capital Receipts,Misc. Capital Receipts,NA,NA,NA
JHARKHAND,TOTAL CAPITAL RECEIPTS,XIII. Remittances,,Remittances,Remittances,40160.3,28735.9,36781.9
JHARKHAND,TOTAL REVENUE,,,TOTAL REVENUE,Tot. Revenue,201017.3,257945.9,324255.7
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),,TAX REVENUE,Tax Revenue,123070,145277.9,172367.8
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),State's Own Tax Revenue,own tax revenue,59672.9,71344.9,87344.9
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Income,tax-income,-1.4,NA,500
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Property and Capital  Transactions,tax-property,3685,5334.9,5784.9
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Commodities and Services,tax-comm.&services,55989.3,66010,81060
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Share in Central Taxes (i to,central taxes,63397.1,73933,85022.9
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Corporation Tax,corp. tax,23399.9,29870.5,34351.1
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Income Tax,income tax,13162.1,14691.8,16895.5
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Estate Duty,estate duty,NA,NA,NA
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Other Taxes on Income and Expenditure,other taxes,NA,NA,NA
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Taxes on Wealth,tax-walth,23.5,56.3,64.7
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Customs,customs,11537.9,12517.2,14394.8
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Union Excise Duties,excise duty,7551.3,9546.8,10978.8
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Service Tax,service tax,7722.4,7250.4,8338
JHARKHAND,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Other Taxes and Duties on Commodities and Services,other duty,NA,NA,NA
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),,NON-TAX REVENUE,non tax revenue,77947.3,112668,151887.9
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),State's Own Non-Tax Revenue,own non tax revenue,31296.4,36086.6,39608.9
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Interest Receipts,interest,2794.1,1006.4,1086.1
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Dividends and Profits,dividend,NA,5.6,6.2
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),General Services,general services,2701.1,3292.2,3559.5
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Social Services,social services,1644,1500.9,1643.9
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Fiscal Services,fiscal services,NA,NA,NA
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Economic Services,economic services,24157.1,30281.5,33313.2
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grants from the Centre,centre grant,46651,76581.4,112279
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-State Plan Schemes,state plan,14488.6,42285.2,65883.8
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-Central Plan Schemes,central plan,4591.1,4307.3,6157.1
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-Centrally Sponsored Schemes,centrally sponsered,12453,12942.1,17939.6
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),NEC or Special Plan Scheme,special scheme,NA,NA,NA
JHARKHAND,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Non-Plan Grants,non plan Grants,15118.3,17046.9,22298.5
KARNATAKA,TOTAL INCOME,,,TOTAL INCOME,Tot. Income,3575136.8,1479537.6,1739817.1
KARNATAKA,TOTAL CAPITAL RECEIPTS,,,TOTAL CAPITAL RECEIPTS,Tot. Cap. Receipts,2993074.5,795561.8,925209.6
KARNATAKA,TOTAL CAPITAL RECEIPTS,I. External Debt #,,External Debt,Ext. Debt,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),,Internal Debt,Int. Debt,52102.2,82630,192200
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),1. Market Loans,Market Loans,Market Loans,20000,75000,154550
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),2. Loans from LIC,Loans from LIC,Loan-LIC,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,Loans from SBI and other Banks,Loan-SBI,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,Loans from National Bank for Agriculture and Rural Development,Loan-NBARD,7345.2,7500,7500
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,Loans from National Co-operative Development Corporation,Loan-NCDC,99.3,130,150
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),6. WMA from RBI,WMA from RBI,WMA-RBI,NA,NA,20000
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),7. Special Securities issued to NSSF,Special Securities issued to NSSF,Securities-NSSF,24657.7,NA,10000
KARNATAKA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),8. Others@,Internal Debt-Others,Oth-Debt,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),,Loans and Advances from the Centre,Loan from centre,15035.2,16169.8,23892.4
KARNATAKA,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),1. State Plan Schemes,State Plan Schemes,state plan,15035.2,16169.8,20002.1
KARNATAKA,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),2. Central Plan Schemes,Central Plan Schemes,central plan,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),3. Centrally Sponsored Schemes,Centrally Sponsored Schemes,centrally sponsered,NA,NA,3880.3
KARNATAKA,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),4. Non-Plan,Non-Plan,non -plan Loans,NA,NA,10
KARNATAKA,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),5. Ways and Means Advances from Centre,Ways and Means Advances from Centre,advances,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),6. Loans for Special Schemes,Loans for Special Schemes,special scheme,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),,Recovery of Loans and Advances,recovery,1613.8,620.8,1737.9
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),1. Housing,Housing,Housing,258.5,NA,708
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,Urban Development,Urb. Dev.,179.9,0.5,271
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,Crop Husbandry,Crop Husbandry,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,Food Storage and Warehousing,Food Storage,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,Co-operation,Co-operation,44.5,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,Minor Irrigation,Minor Irrigation,NA,0.9,1
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,Power Projects,Power Projects,175,130,176
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,Village and Small Industries,Village and Small Industries,14,11.6,10
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,Industries and Minerals,Industries and Minerals,391.1,294.6,101
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,Road Transport,Road Transport,290.4,70,70
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+","Government Servants, etc.+",Govt. Servants,35.7,40.8,41.8
KARNATAKA,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),12. Others**,Recovery of Loands and Advances-Others,Other-loan,224.8,72.5,359.1
KARNATAKA,TOTAL CAPITAL RECEIPTS,V. Inter-State Settlement,,Inter-State Settlement, Inter-State Settlement,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,VI. Contingency Fund,,Contingency Fund,Contingency Fund,NA,50,50
KARNATAKA,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",,"Total Capital Receipts- State Provident Funds, etc.",Tot.State Provident Funds,29969.1,30350,33394.4
KARNATAKA,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,Total Capital Receipts- State Provident Funds,State Provident Funds,16636.1,16550,18210
KARNATAKA,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",2. Others,Total Capital Receipts-State Provident Funds-Others,Other fund,13333.1,13800,15184.4
KARNATAKA,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),,Reserve Funds,Reserve Funds ,21340.9,12709.9,14270
KARNATAKA,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,Depreciation or Renewal Reserve Funds,Depreciation Funds,0.2,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),2. Sinking Funds,Sinking Funds, Sinking Funds,0.7,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),3. Famine Relief Fund,Famine Relief Fund,Famine Relief Fund,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),4. Others,Reserve Funds-Others,Other reserves,21339.9,12709.9,14270
KARNATAKA,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),,Deposits and Advances,Deposits and Advances ,237439.2,179095,192415
KARNATAKA,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),1. Civil Deposits,Civil Deposits Income,Civil Deposits,43909.1,3500,4000
KARNATAKA,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),2. Deposits of Local Funds,Deposits of Local Funds,Deposits of Local Funds,151269.8,141050,151050
KARNATAKA,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),3. Civil Advances,Civil Advances Income,Civil Advances,2.3,15,15
KARNATAKA,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),4. Others,Deposits and Advances -Others,Other deposits,42258.1,34530,37350
KARNATAKA,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),,Suspense and Miscellaneous,Suspense and Misc. ,2620115.3,459936.3,452000
KARNATAKA,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),1. Suspense,Suspense,Suspense,2341.7,1610,1700
KARNATAKA,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),2. Cash Balance Investment Accounts,Cash Balance Investment Accounts,Cash Balance,2118930.3,20000,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),3. Deposits with RBI,Deposits with RBI,Deposits with RBI,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),4. Others,Miscellaneous-Others,Miscellaneous,498843.4,438326.3,450300
KARNATAKA,TOTAL CAPITAL RECEIPTS,XI. Appropriation to Contingency Fund,,Appropriation to Contingency Fund,Appropriation ,NA,NA,NA
KARNATAKA,TOTAL CAPITAL RECEIPTS,XII. Miscellaneous Capital Receipts,,Miscellaneous Capital Receipts,Misc. Capital Receipts,718.1,1000,1250
KARNATAKA,TOTAL CAPITAL RECEIPTS,XIII. Remittances,,Remittances,Remittances,14740.7,13000,14000
KARNATAKA,TOTAL REVENUE,,,TOTAL REVENUE,Tot. Revenue,582062.3,683975.8,814607.5
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),,TAX REVENUE,Tax Revenue,479794.3,568500.7,649144
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),State's Own Tax Revenue,own tax revenue,384731.2,457750.3,518207
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Income,tax-income,5590.7,6150,7400
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Property and Capital  Transactions,tax-property,37086.1,49400.3,53987
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Commodities and Services,tax-comm.&services,342054.4,402200,456820
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Share in Central Taxes (i to,central taxes,95063.1,110750.4,130937
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Corporation Tax,corp. tax,37156.3,41980.6,47839.8
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Income Tax,income tax,19635,22671.5,25882.9
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Estate Duty,estate duty,NA,NA,NA
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Other Taxes on Income and Expenditure,other taxes,NA,NA,NA
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Taxes on Wealth,tax-walth,76.2,150.2,171.2
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Customs,customs,16622.7,19284.9,23807
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Union Excise Duties,excise duty,12092.5,12625,16302.5
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Service Tax,service tax,9480.5,14038.3,16933.7
KARNATAKA,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Other Taxes and Duties on Commodities and Services,other duty,-0.1,-0.1,-0.1
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),,NON-TAX REVENUE,non tax revenue,102267.9,115475.1,165463.5
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),State's Own Non-Tax Revenue,own non tax revenue,33582.8,31886.3,31928.2
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Interest Receipts,interest,5750.7,4150,2500
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Dividends and Profits,dividend,434.4,610,635
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),General Services,general services,975.2,4121.3,4192.2
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Social Services,social services,3304.7,3426.5,4150.5
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Fiscal Services,fiscal services,NA,NA,NA
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Economic Services,economic services,23117.8,19578.5,20450.5
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grants from the Centre,centre grant,68685.1,83588.8,133535.3
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-State Plan Schemes,state plan,28388.1,36196.1,37025.9
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-Central Plan Schemes,central plan,1444.3,3975.3,50617.8
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-Centrally Sponsored Schemes,centrally sponsered,16286.1,24027.9,23009.7
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),NEC or Special Plan Scheme,special scheme,NA,NA,NA
KARNATAKA,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Non-Plan Grants,non plan Grants,22566.6,19389.5,22881.9
KERALA,TOTAL INCOME,,,TOTAL INCOME,Tot. Income,1710994,1723235,1549036.5
KERALA,TOTAL CAPITAL RECEIPTS,,,TOTAL CAPITAL RECEIPTS,Tot. Cap. Receipts,1401084.5,1327356.7,1067620.6
KERALA,TOTAL CAPITAL RECEIPTS,I. External Debt #,,External Debt,Ext. Debt,NA,NA,NA
KERALA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),,Internal Debt,Int. Debt,68275,119506.5,196217.6
KERALA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),1. Market Loans,Market Loans,Market Loans,55000,93010,114127.5
KERALA,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),2. Loans from LIC,Loans from LIC,Loan-LIC,4400,4400,3690
