State,From Year,To Year,Category,Sub-category,Display Names,Total,% To India,% To State,Males,% To Total,Females,% To Total,All India Total,All India Males,All India Females,All States,All India Figs
TRIPURA,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),3.9,,,,,,,,,,0.7,
CHANDIGARH,,2010,HEALTH,Death Rate (2010),Death Rate,3.9,,,,,,,7.2,,,,
NAGALAND,2011,2012,ECONOMY/ BUDGET,Growth Rate (At Constant 2004-05 Prices) (%) ,Growth Rate,3.93,,,,,,,6.88,,,,
JAMMU & KASHMIR,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,4,,,,,,,2894,,,,
UTTARAKHAND,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,4,,,2.1,,14.2,,5,3.4,12.5,,
CHHATTISGARH,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,4,,,,,,,3357,,,,
MAHARASHTRA,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),4,,,,,,,,,,,
JHARKHAND,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,4,,,,,,,2894,,,,
JHARKHAND,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4,,,,,,,,,,0.7,
MEGHALAYA,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,4,,,,,,,3357,,,,
TRIPURA,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,4,,,,,,,2074,,,,
DAMAN & DIU,,2012,HEALTH,Total No of Beds (Govt) ,Total Beds (Govt) ,4,,,,,,,11993,,,,
DAMAN & DIU,,2012,HEALTH,No of Urban Beds (Govt),Urb. Beds (Govt),4,,,,,,,4146,,,,
CHANDIGARH,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,4,,,,,,,2074,,,,
CHANDIGARH,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),4,,,,,,,11993,,,,
TAMIL NADU,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4,,,,,,,242,,,,
KARNATAKA,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),4,,,,,,,211622,,,,
GOA,2007,2008,POPULATION,HDI Ranking,HDI Rank,4,0.12,,0.7,50.81,0.7,49.19,1210.2,623.7,586.5,,
ASSAM,,2011,POPULATION,Rural Child Population (0-6 Years) (in million),Child Population-Rur(Mn),4.08,,15.24,,,,,117.6,,,,
PUNJAB,,2011,HOUSEHOLD ASSETS,Availability of Drinking Water Source Away (in %),Drinking Water  Away ( %),4.1,,,,,,,17.6,,,,
ASSAM,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.1,,,,,,,,,,0.7,
KERALA,2007,2009,HEALTH,Maternal Mortality Rate ,Maternal Mortality Rate ,4.1,,,,,,,11993,,,,
ANDHRA PRADESH,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.1,,,,,,,242,,,,
DELHI,,2010,HEALTH,Death Rate (2010),Death Rate,4.2,,,,,,,7.2,,,,
MAHARASHTRA,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,4.2,,,2.3,,10.7,,5,3.4,12.5,,
JHARKHAND,,2011,POPULATION,Rural Child Population (0-6 Years) (in million),Child Population-Rur(Mn),4.2,,16.96,,,,,117.6,,,,
MANIPUR,,2010,HEALTH,Death Rate (2010),Death Rate,4.2,,,,,,,7.2,,,,
TRIPURA,,2011,HOUSEHOLD ASSETS,Concrete Roofs (in %),Concrete Roofs ( %),4.2,,,,,,,29.1,,,,
GUJARAT,2009,2010,EDUCATION,Drop Out Rate Primary,Drop Out Rate Primary,4.27,,,3.79,,4.83,,6.76,7.13,6.37,,
MADHYA PRADESH,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.3,,,,,,,,,,0.7,
MANIPUR,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.3,,,,,,,,,,0.7,
MIZORAM,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,4.3,,,0.8,,11.9,,5,3.4,12.5,,
ORISSA,,2011,POPULATION,Rural Child Population (0-6 Years) (in million),Child Population-Rur(Mn),4.3,,12.4,,,,,117.6,,,,
ORISSA,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,4.3,,,3.6,,10.7,,5,3.4,12.5,,
ANDAMAN & NICOBAR ISLANDS,,2010,HEALTH,Death Rate (2010),Death Rate,4.3,,,,,,,7.2,,,,
TAMIL NADU,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),4.3,,,,,,,58.7,,,,
KARNATAKA,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.3,,,,,,,242,,,,
MADHYA PRADESH,2011,2012,POPULATION,Urban Population Below Povery Line (in million),BPL Population-Urb(Mn),4.31,,21,,,,,,,,,
WEST BENGAL,2011,2012,POPULATION,Urban Population Below Povery Line (in million),BPL Population-Urb(Mn),4.38,,14.66,,,,,,,,,
ASSAM,,2011,POPULATION,Urban Population (in million),Population-Urb(Mn),4.39,,14.08,2.27, ,2.12,,377.1,195.8,181.3,,
DADRA & NAGAR HAVELI,,2011,HOUSEHOLD ASSETS,Houses Using Kerosene (in %),Houses -Kerosene ( %),4.4,,,,,,,31.4,,,,
KARNATAKA,,2011,POPULATION,Rural Child Population (0-6 Years) (in million),Child Population-Rur(Mn),4.4,,10.62,,,,,41.2,,,,
CHANDIGARH,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,4.49,,,,,,,9.21,,,,
DELHI,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,4.5,,,2.5,,17.5,,3.4,2.7,5.6,,
MIZORAM,,2010,HEALTH,Death Rate (2010),Death Rate,4.5,,,,,,,7.2,,,,
ASSAM,,2011,POPULATION,Child Population (0-6 Years) (in Million),Child Population(Mn),4.51,,14.47,, ,,,158.8,,,,
GUJARAT,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.6,,,,,,,,,,0.7,
DELHI,,2011,HOUSEHOLD ASSETS,Total No of Census Houses (in million),Total Houses(Mn),4.6,,,,,,,330.8,,,,
CHHATTISGARH,,2011,HOUSEHOLD ASSETS,Houses With Computer or Laptop (in %),Houses- Computer or Laptop (%),4.6,,,,,,,9.5,,,,
DELHI,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,4.67,,,,,,,9.21,,,,
GUJARAT,,2011,POPULATION,Rural Child Population (0-6 Years) (in million),Child Population-Rur(Mn),4.7,,13.49,,,,,117.6,,,,
RAJASTHAN,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),4.7,,,,,,,4.7,,,,
WEST BENGAL,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.7,,,,,,,,,,0.7,
JHARKHAND,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,4.7,,,3.7,,8.9,,3.4,2.7,5.6,,
MANIPUR,,2011,HOUSEHOLD ASSETS,Concrete Roofs (in %),Concrete Roofs ( %),4.7,,,,,,,29.1,,,,
PUDUCHERRY,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,4.7,,,3,,11.1,,3.8,2.9,6.9,,
DADRA & NAGAR HAVELI,,2010,HEALTH,Death Rate (2010),Death Rate,4.7,,,,,,,7.2,,,,
MAHARASHTRA,2011,2012,POPULATION,Urban Population Below Povery Line (in million),BPL Population-Urb(Mn),4.74,,9.12,,,,,,,,,
DELHI,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,4.8,,,3.1,,15.3,,3.8,2.9,6.9,,
JHARKHAND,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,4.8,,,3.9,,9.3,,3.8,2.9,6.9,,
GOA,,2011,HOUSEHOLD ASSETS,Availability of Drinking Water Source Away (in %),Drinking Water  Away ( %),4.8,,,,,,,29.1,,,,
GOA,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.8,,,,,,,242,,,,
KERALA,2001,2011,POPULATION,Decadal Population Growth (2001-2011) (in %),Decadal Pop. Growth,4.86,,,89.62, ,95.66,,31.8,30.06,33.73,,
DELHI,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,4.9,,,3.2,,14.9,,5,3.4,12.5,,
PUNJAB,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),4.9,,,,,,,,,,0.7,
DAMAN & DIU,,2010,HEALTH,Infant Mortality Rate (IMR),Infant Mortality Rate (IMR),4.9,,,,,,,7.2,,,,
ANDAMAN & NICOBAR ISLANDS,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,4.97,,,,,,,9.21,,,,
JAMMU & KASHMIR,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,5,,,3.3,,15.7,,3.4,2.7,5.6,,
PUNJAB,2007,2008,POPULATION,HDI Ranking,HDI Rank,5,,,,,,,,,,,
PUNJAB,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),5,,,,,,,3170,,,,
RAJASTHAN,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),5,,,,,,,,,,0.7,
MADHYA PRADESH,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),5,,,,,,,,,,,
MANIPUR,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,5,,,,,,,3357,,,,
MANIPUR,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,5,,,,,,,3292,,,,
SIKKIM,2009,2010,EDUCATION,"Colleges & Polytechnics-Arts, Fine Arts, Social Work, Science & Commerce",Colleges -Arts,5,,,,,,,14321,,,,
SIKKIM,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),5,,,,,,,,,,0.7,
TRIPURA,,2010,HEALTH,Death Rate (2010),Death Rate,5,,,,,,,7.2,,,,
ORISSA,,2011,POPULATION,Child Population (0-6 Years) (in Million),Child Population(Mn),5,,12,,,,,158.8,,,,
ORISSA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),5,,,,,,,1599,,,,
PUDUCHERRY,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,5,,,,,,,2074,,,,
PUDUCHERRY,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,5,,,,,,,3292,,,,
LAKSHADWEEP,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),5,,,,,,,11993,,,,
LAKSHADWEEP,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),5,,,,,,,7347,,,,
TAMIL NADU,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),5,,,,,,,211622,,,,
ANDHRA PRADESH,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),5,,,,,,,211622,,,,
GOA,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Non-Major Ports,Non-Major Ports,5,,,,,,,,,,,
MADHYA PRADESH,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,5.1,,,4.4,,9.6,,5,3.4,12.5,,
ORISSA,,2011,HOUSEHOLD ASSETS,Houses With Computer or Laptop (in %),Houses- Computer or Laptop (%),5.1,,,,,,,9.5,,,,
UTTAR PRADESH,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),5.1,,,,,,,,,,0.7,
NAGALAND,2009,2010,EDUCATION,Drop Out Rate Primary,Drop Out Rate Primary,5.18,,,5.87,,4.45,,6.76,7.13,6.37,,
HIMACHAL PRADESH,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),5.2,,,,,,,,,,0.7,
UTTARAKHAND,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,5.2,,,3.2,,11.3,,3.8,2.9,6.9,,
UTTARAKHAND,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),5.2,,,,,,,,,,0.7,
JHARKHAND,,2011,POPULATION,Child Population (0-6 Years) (in Million),Child Population(Mn),5.2,,15.89, , , ,,158.8,,,,
MEGHALAYA,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),5.2,,,,,,,,,,0.7,
KERALA,,2011,HOUSEHOLD ASSETS,Houses Using Kerosene (in %),Houses -Kerosene ( %),5.2,,,,,,,0.4,,,,
PUNJAB,,2011,INDUSTRY & INFRASTRUCTURE,Motor Vehicles (in million),Motor Vehicles (Mn),5.27,,,,,,,141.86,,,,
KERALA,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),5.3,,,,,,,242,,,,
PUDUCHERRY,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,5.31,,,,,,,9.21,,,,
CHHATTISGARH,2009,2010,EDUCATION,Drop Out Rate Primary,Drop Out Rate Primary,5.37,,,5.62,,5.1,,6.76,7.13,6.37,,
ANDHRA PRADESH,2009,2010,EDUCATION,Drop Out Rate Primary,Drop Out Rate Primary,5.39,,,,,,,6.4,,,,
GOA,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,5.39,,,2.09,,NA,,6.76,7.13,6.37,,
JAMMU & KASHMIR,2012,2013,HEALTH,Expenditure on Health (% of GDP) (2012-13 BE),Expenditure on Health (% ),5.4,,,,,,,,,,0.7,
HARYANA,,2011,INDUSTRY & INFRASTRUCTURE,Motor Vehicles (in million),Motor Vehicles (Mn),5.4,,,,,,,141.86,,,,
MAHARASHTRA,,2011,POPULATION,Urban Child Population (0-6 Years) (in million),Child Population-Urb(Mn),5.4,,10.63,,,,,41.2,,,,
MEGHALAYA,,2011,HOUSEHOLD ASSETS,Houses With 2 wheelers (in %),Houses-2 wheelers ( %),5.4,,,,,,,21,,,,
MEGHALAYA,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),5.4,,,,,,,4.7,,,,
UTTARAKHAND,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,5.5,,,3.5,,10.8,,3.4,2.7,5.6,,
UTTAR PRADESH,,2011,POPULATION,Urban Child Population (0-6 Years) (in million),Child Population-Urb(Mn),5.5,,12.32,,,,,41.2,,,,
TRIPURA,2011,2012,Fiscal Developments,Revenue Deficit (BE) (As %ge Of GSDP),Revenue Deficit(%),5.52,,,,,,,0.32,,,,
HIMACHAL PRADESH,,2012,POPULATION,Aadhar (upto 18th May 2013)- No of Persons Enrolled (in million),Aadhar(Mn),5.55,,,,,,,341.12,,,,
JAMMU & KASHMIR,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,5.6,,,3.6,,18.2,,3.8,2.9,6.9,,
BIHAR,2009,2010,INDUSTRY & INFRASTRUCTURE,Foodgrain Area Under Irrigation (%),Foodgrain Area Under Irrigation (%),5.6,,,,,,,32.2,,,,
ARUNACHAL PRADESH,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,5.6,,,4,,8.6,,3.4,2.7,5.6,,
NAGALAND,,2011,HOUSEHOLD ASSETS,Concrete Roofs (in %),Concrete Roofs ( %),5.6,,,,,,,29.1,,,,
SIKKIM,,2010,HEALTH,Death Rate (2010),Death Rate,5.6,,,,,,,7.2,,,,
PUDUCHERRY,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),5.6,,,,,,,4.7,,,,
TAMIL NADU,2007,2009,HEALTH,Maternal Mortality Rate ,Maternal Mortality Rate ,5.6,,,,,,,11993,,,,
LAKSHADWEEP,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,5.62,,,,,,,9.21,,,,
JAMMU & KASHMIR,,2010,HEALTH,Death Rate (2010),Death Rate,5.7,,,,,,,7.2,,,,
DADRA & NAGAR HAVELI,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),5.7,,,,,,,4.7,,,,
PUNJAB,2011,2012,ECONOMY/ BUDGET,Growth Rate (At Constant 2004-05 Prices) (%) ,Growth Rate,5.79,,,,,,,6.88,,,,
UTTARAKHAND,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,5.84,,,6.48,,5.15,,9.21,,,,
CHHATTISGARH,,2011,POPULATION,Urban Population (in million),Population-Urb(Mn),5.9,,23.24,3, ,2.9,,377.1,195.8,181.3,,
MADHYA PRADESH,,2011,HOUSEHOLD ASSETS,Houses With Computer or Laptop (in %),Houses- Computer or Laptop (%),5.9,,,,,,,9.5,,,,
MAHARASHTRA,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),5.9,,,,,,,4.7,,,,
JHARKHAND,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,5.9,,,5,,12,,5,3.4,12.5,,
ARUNACHAL PRADESH,,2010,HEALTH,Death Rate (2010),Death Rate,5.9,,,,,,,7.2,,,,
NAGALAND,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,5.9,,,6.5,,4.8,,3.4,2.7,5.6,,
DAMAN & DIU,,2011,HOUSEHOLD ASSETS,Households With Banking Services (in %),Households-Banking  (%),5.9,,,,,,,4.7,,,,
TAMIL NADU,,2011,HOUSEHOLD ASSETS,Houses Using Kerosene (in %),Houses -Kerosene ( %),5.9,,,,,,,0.4,,,,
ANDHRA PRADESH,,2011,POPULATION,Rural Child Population (0-6 Years) (in million),Child Population-Rur(Mn),5.9,,9.84,,,,,41.2,,,,
TAMIL NADU,2011,2012,POPULATION,Rural Population Below Poverty Line (in million),BPL Population-Rur(Mn),5.92,,6.54,,,,,,,,,
WEST BENGAL,,2010,HEALTH,Death Rate (2010),Death Rate,6,,,,,,,7.2,,,,
MAHARASHTRA,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),6,,,,,,,,,,,
ARUNACHAL PRADESH,2007,2008,POPULATION,HDI Ranking,HDI Rank,6,,,,,,,,,,,
ASSAM,2001,2011,ECONOMY/ BUDGET,Increase In per capita income (%),Increase In per capita income(%),6,,,,,,,8.3,,,,
ASSAM,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),6,,,,,,,,,,,
MANIPUR,2007,2008,POPULATION,HDI Ranking,HDI Rank,6,,,,,,,,,,,
MANIPUR,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),6,,,,,,,4.7,,,,
MEGHALAYA,2007,2008,POPULATION,HDI Ranking,HDI Rank,6,,,,,,,,,,,
MIZORAM,2007,2008,POPULATION,HDI Ranking,HDI Rank,6,,,,,,,,,,,
NAGALAND,2007,2008,POPULATION,HDI Ranking,HDI Rank,6,,,,,,,,,,,
NAGALAND,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,6,,,6.5,,5.2,,3.8,2.9,6.9,,
SIKKIM,2007,2008,POPULATION,HDI Ranking,HDI Rank,6,,,,,,,,,,,
SIKKIM,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,6,,,,,,,3292,,,,
TRIPURA,2007,2008,POPULATION,HDI Ranking,HDI Rank,6,,,,,,,,,,,
TRIPURA,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,6,,,,,,,3292,,,,
DAMAN & DIU,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,6,,,7,,NA,,3.8,2.9,6.9,,
UTTAR PRADESH,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),6,,,,,,,211622,,,,
MAHARASHTRA,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,6.03,,,,,,,9.21,,,,
ORISSA,2009,2010,EDUCATION,Drop Out Rate Primary,Drop Out Rate Primary,6.05,,,6.13,,5.97,,6.76,7.13,6.37,,
GUJARAT,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),6.1,,,,,,,4.7,,,,
HIMACHAL PRADESH,,2011,POPULATION,Population (Aged 7 & Above) (in million),Population(>7 Yrs)(Mn),6.1,,,,,,,1051.4,,,,
WEST BENGAL,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,6.1,,,4.3,,15.9,,3.4,2.7,5.6,,
KERALA,,2011,INDUSTRY & INFRASTRUCTURE,Motor Vehicles (in million),Motor Vehicles (Mn),6.1,,,,,,,64600,,,,
ANDHRA PRADESH,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,6.1,,,,,,,330.8,,,,
ANDHRA PRADESH,2011,2012,POPULATION,Rural Population Below Poverty Line (in million),BPL Population-Rur(Mn),6.18,,9.2,,,,,,,,,
DELHI,,2011,HOUSEHOLD ASSETS,Availability of Drinking Water Source Away (in %),Drinking Water  Away ( %),6.2,,,,,,,17.6,,,,
HIMACHAL PRADESH,,2011,POPULATION,Rural Population (in million),Population-Rur(Mn),6.2,,89.96,3.1, ,3.1,,833.1,427.9,405.2,,
UTTARAKHAND,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),6.2,,,,,,,4.7,,,,
ASSAM,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,6.2,,,4.8,,12.8,,3.4,2.7,5.6,,
HARYANA,2009,2010,EDUCATION,Drop Out Rate Primary,Drop Out Rate Primary,6.21,,,5.37,,7.15,,6.76,7.13,6.37,,
LAKSHADWEEP,2001,2011,POPULATION,Decadal Population Growth (2001-2011) (in %),Decadal Pop. Growth,6.23,,,6.34, ,6.11,,17.64,17.19,18.12,,
UTTAR PRADESH,2011,2012,ECONOMY/ BUDGET,Growth Rate (At Constant 2004-05 Prices) (%) ,Growth Rate,6.23,,,,,,,6.88,,,,
MANIPUR,2011,2012,ECONOMY/ BUDGET,Growth Rate (At Constant 2004-05 Prices) (%) ,Growth Rate,6.24,,,,,,,6.88,,,,
DAMAN & DIU,2009,2010,EDUCATION,No of Teachers (in million),Teachers (Mn),6.27,,,,,,,6.76,7.13,6.37,,
HIMACHAL PRADESH,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,6.3,,,3.8,,13,,5,3.4,12.5,,
UTTARAKHAND,,2010,HEALTH,Death Rate (2010),Death Rate,6.3,,,,,,,7.2,,,,
ASSAM,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,6.3,,,4.7,,13.8,,3.8,2.9,6.9,,
NAGALAND,,2011,HOUSEHOLD ASSETS,Houses With 2 wheelers (in %),Houses-2 wheelers ( %),6.3,,,,,,,21,,,,
UTTAR PRADESH,2001,2011,ECONOMY/ BUDGET,Increase In per capita income (%),Increase In per capita income(%),6.3,,,,,,,8.3,,,,
KARNATAKA,,2011,HOUSEHOLD ASSETS,Houses With cars (in %),Houses- cars ( %),6.3,,,,,,,58.7,,,,
RAJASTHAN,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),6.31,,,,,,,1599,,,,
JAMMU & KASHMIR,2011,2012,Fiscal Developments,Revenue Deficit (BE) (As %ge Of GSDP),Revenue Deficit(%),6.33,,,,,,,0.32,,,,
CHHATTISGARH,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,6.38,,,,,,,9.21,,,,
BIHAR,2009,2010,EDUCATION,Drop Out Rate Primary,Drop Out Rate Primary,6.39,,,7.52,,5.16,,6.76,7.13,6.37,,
BIHAR,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,6.4,,,4.5,,18.1,,5,3.4,12.5,,
MEGHALAYA,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,6.4,,,4.2,,10,,5,3.4,12.5,,
LAKSHADWEEP,,2010,HEALTH,Death Rate (2010),Death Rate,6.4,,,,,,,7.2,,,,
KARNATAKA,2011,2012,ECONOMY/ BUDGET,Growth Rate (At Constant 2004-05 Prices) (%) ,Growth Rate,6.44,,,,,,,724279.85,,,,
WEST BENGAL,2009,2010,EDUCATION,Drop Out Rate Primary,Drop Out Rate Primary,6.49,,,7,,5.96,,6.76,7.13,6.37,,
TAMIL NADU,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,6.49,,,,,,,940,,,,
MAHARASHTRA,,2010,HEALTH,Death Rate (2010),Death Rate,6.5,,,,,,,7.2,,,,
ARUNACHAL PRADESH,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,6.5,,,4.7,,10.1,,3.8,2.9,6.9,,
NAGALAND,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,6.5,,,6.3,,7.2,,5,3.4,12.5,,
HARYANA,,2012,POPULATION,Aadhar (upto 18th May 2013)- No of Persons Enrolled (in million),Aadhar(Mn),6.55,,,,,,,341.12,,,,
JHARKHAND,2011,2012,ECONOMY/ BUDGET,Growth Rate (At Constant 2004-05 Prices) (%) ,Growth Rate,6.57,,,,,,,6.88,,,,
HARYANA,,2010,HEALTH,Death Rate (2010),Death Rate,6.6,,,,,,,7.2,,,,
PUNJAB,2001,2011,ECONOMY/ BUDGET,Increase In per capita income (%),Increase In per capita income(%),6.6,,,,,,,8.3,,,,
SIKKIM,,2011,HOUSEHOLD ASSETS,Houses Using Kerosene (in %),Houses -Kerosene ( %),6.6,,,,,,,31.4,,,,
PUDUCHERRY,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,6.6,,,4.3,,16.1,,5,3.4,12.5,,
GOA,,2010,HEALTH,Death Rate (2010),Death Rate,6.6,,,,,,,47,,,,
RAJASTHAN,2001,2011,EDUCATION,Decadal Difference In Literacy Rate,Decadal Diff.-Literacy Rate,6.65,,,,,,,9.21,,,,
